自动钓鱼 (跳过钓鱼小游戏，直接完美钓鱼！甚至鱼王都)
骷髅洞穴入口重制 (这个模组对《星露谷物语》的骷髅洞穴进行了)
威利和克林特购买更多物品 (这个模组对《星露谷物语》中威利和克林特的)
防止能量损失 (这个模组为《星露谷物语》添加了智能工具使)
马厩和鸡舍动物标志 (这个模组为《星露谷物语》新增了一系列风格)
樱花麻薯巴士 (这个模组将《星露谷物语》中的巴士外观重新)
沙漠巴士 (这个模组为《星露谷物语》带来了沉浸式的真)
全局经验系统 (这个模组彻底重构了《星露谷物语》的技能经)
皮埃尔出售喷灌器 (这个模组的内容:皮埃尔寄来了一封信，宣布)
钓鱼再钓鱼 (这个贴心的模组彻底解决了《星露谷物语》玩)
独角马 (这个模组将《星露谷物语》中的普通马匹外观)
停止暴饮暴食 (这个模组对《星露谷物语》的饮食系统进行了)
柔粉手工艺品 (这个MOD为《星露谷物语》中的23种可制)
德玛西亚之剑 (这款MOD为《星露谷物语》新增了一把名为)
星露角物品包 (这个模组专为热爱地牢探险的《星露谷物语》)
环境绘画包 (这个MOD为《星露谷物语》注入了30幅令)
动态窗口 (这个MOD为《星露谷物语》的农舍带来了栩)
咖啡治愈疲劳 (这款实用的生活MOD巧妙调整了《星露谷物)
迷你小屋建筑 (这个模组为《星露谷物语》添加了一个 迷你)
浣熊出售水母果 (这个模组为《星露谷物语》新增了 浣熊商店)
可爱的地毯 (这个模组为《星露谷物语》新增了 49 条)
暑假套装 (这个模组添加了夏日假期主题的服装和帽子包)
可爱的床 (这个模组为《星露谷物语》新增了 147张)
种子纹理重制 (这个 种子物品重纹理模组 为《星露谷物语)
冒险套件纹理重制 (这个模组为《星露谷物语》中的工具、武器、)
里威- NPC - 进击的巨人 (这个模块将让我们的里维加入鹈鹕镇。 里维)
绿色可爱家具 (这款模组为《星露谷物语》带来了一系列清新)
芙洛琳- 自定义 NPC (这个模组为鹈鹕镇添加一个异想天开的时尚 )
帅气的兰斯 (这个模组为兰斯添加了更为帅气的形象，包含)
钟赫和斯班纳 (钟赫和斯班纳是两个独立的为 阳莓村添加的)
图标更改 (这个模组将《星露谷物语》中的增益状态图标)
沼泽女巫农场建筑 (这个模组添加了季节性的女巫农场风格建筑。)
宠物家具 (这个模组添加了一些宠物家具，适用于狗狗、)
兰妮- 阳莓村自定义 NPC (兰妮，一个为阳莓村定制的 NPC！包含随)
可制作的熊状物品 (这个模组将你的手工艺品变成可爱的小熊！给)
一个关于哈维的婚姻扩展 (这个模组是一个婚姻扩展包，它将哈维最优秀)
食物美化 (这个模组是对畜牧业拓展模组中的烹饪食物的)
可定制的界面 (这个模组允许你自己定制游戏界面。这个界面)
可建造的农夫市场 (建造你自己的农夫市场并销售你的产品！要出)
传送大厅 (一个神奇的农场建筑，将四个传送柱融合成一)
诗意哈维扩展对话 (这个模组将哈维转化为一个更深刻、情感更复)
添加可爱精灵耳朵 (这个模组为游戏添加了很多可爱的精灵耳朵。)
皮埃尔出售喷水器 (此模组将以下物品添加到皮埃尔商店出售菜单)
夏季新增浆果 (这个模组在城镇周围的灌木丛中添加4个浆果)
农场市场家具 - 鱼贩和屠夫套装 (为您的屠夫和鱼贩提供全套农夫市场家具！这)
芬蒙特农场 (这个模组添加一个拥有大片草地，用于种植作)
红鹤畜棚动物 (这个模组将丹顶鹤添加为谷仓动物。它们每 )
基础楼层包 (这个模组添加了 256 张与基础游戏墙壁)
三丽鸥帽子和配饰 (这个模组为游戏添加15顶三丽鸥帽子和头饰)
第一农场 (这个模组为游戏添加一个新农场。初始阶段，)
手工商品增强 (这个模组是一个用于手工商品的重制纹理模组)
农场恐龙 (如果你曾经因为不能将恐龙蛋放入鸵鸟孵化器)
甜蜜邮箱 (这个模组为游戏添加一个轻巧的季节性邮箱，)
更多地毯 (这个模组新增 40 多种原本仅在村民房屋)
雄鸭和雌鸭 (现在的鸭子有雄性和雌性两种，雌性会下蛋，)
简约头巾 (这个模组添加了一个简单的时尚配饰，增加一)
更多经销商 (此模组在随机楼层矿井中添加商店，您可以补)
实用主义者组织的温室 (这个模组稍微扩展温室布局，可容纳 6 个)
树木学家目录 (这个模组将所有的原版树木和灌木作为家具添)
海滩声音内容补丁 (该模组替换了海滩波浪的声音，使其更悦耳且)
特色咖啡饮品 (添加了 16 种新的特色咖啡和茶配方！学)
空厨房 (删除那个总是妨碍你室内设计需求的烦人厨房)
大温室 (将温室替换为一个更大的版本，有足够的空间)
雅库特马 (这个模组将你的马儿替换为千与千寻中的雅库)
书籍收藏（SNF） (在山谷中寻找隐藏的有趣小书！增加 70 )
洛离的上衣与裙子41 (五套服装)
洛离的上衣与裙子24 (三套服装)
洛离的上衣与裙子19 (六套服装)
洛离的上衣与裙子12 (六套服装)
野生动物调整 (此模组编辑了游戏中大多数动物和生物的精灵)
西尔弗的农家女孩 (一个巨大的版本的女性农民的身体变成一个新)
东斯卡普的熊家族 (为东斯卡普准备的小扩展，需要https:)
伊伦的科技公司 (这个mod为你的农舍提供了一堆原版风格的)
订阅盒 (为游戏添加交互式订阅盒服务。在每周开始时)
QuickMinigame——快捷迷你游戏 (安装方法1. 安装最新的SMAPI2. )
黄金时钟到季节树 (金钟现在是一棵季节性的树。春天是黄色的。)
对烹饪的热爱 (该模组从可选功能中进行选择，包括新的烹饪)
等一下 (“等一下”是一个允许你跳过时间的模组。特)
螺旋矿山地图快捷方式 (这个mod增加了四个快捷键的螺旋矿地图。)
太阳的盛宴 (把夏威夷宴会的主题改成夏至盛宴。所有视觉)
混合种子 (改变混合种子和混合花种子，包括所有的种子)
更多横幅变化 (该模组为所有横幅添加了两个小版本。如果学)
装饰物 (这是一个以工艺为重点的项目扩展，它添加了)
更好的平衡 (该模组对各种农产品的价格进行简单、完全可)
新鲜农产品 (销售新鲜、高质量的产品获得奖励。提高高品)
更好的回归权杖 (有没有希望过回归权杖能让你变形回到上次使)
简单的山谷 (日历，任务，统计，金核桃信息显示；地图图)
更好的黏液仓库 (将模组的内部变成一个更大的可配置空间。选)
额外的发电机 (这个mod增加了两个新项目，一个生物燃料)
歌唱向日葵 (在游戏中添加一种熟悉的花。在夏天和秋天种)
葡萄作物 (这个mod添加了梅洛和赛美蓉葡萄，这些葡)
皮埃尔出售心爱的庄稼 (这个mod将NPC的爱的作物/花添加到皮)
多个方块 (该模组允许放置2个以上的迷你方尖碑。功能)
粉红精灵之夜 (该模组增加了几个粉红色和橙色怪异的家具项)
农场运输箱纹理优化 (有没有想过那个能轻易装下999瓶葡萄酒的)
填满池塘 (一个简单的mod，你可以隐藏（填充和耕地)
灵之夜晚家具 (为你的农场在万圣节前夕增添 40 件诡异)
玩具钢琴家具 (这个内容包增加了一台可以坐上去的小玩具钢)
额外的雕像方尖碑 (这是一个小型修改，它改变了游戏的方尖碑外)
巨型惊喜作物 (3种全新的非常奇特的作物，如果它们长大了)
孔雀乐队 (孔雀生活在谷仓里，产卵和羽毛。孔雀蛋可以)
猫头鹰 (猫头鹰生活在笼子里，产下猫头鹰蛋，这些蛋)
乌龟 (乌龟住在豪华的畜栏里，它们会扔下披萨和放)
猴子 (猴子住在笼子里，会扔下香蕉和古老的种子。)
水果蝙蝠 (果蝠生活在笼子里，会掉下与其相对应的水果)
火鸡 (火鸡生活在鸡舍里，会掉下火鸡羽毛和火鸡蛋)
孔雀 (孔雀生活在笼子里，产下可以制成蛋黄酱的孔)
耗牛 (牦牛生活在畜棚里，产奶和羊毛，这些奶和羊)
鹌鹑 (该模组添加了新的动物-鹌鹑它生活在笼子里)
乌云叶 (该模组将装饰性的树木、石头和星星是为了给)
巫术生物 (该模组为游戏添加了一些不同的生物：鸡笼生)
露营小屋 (简单来说，它把林纳斯的帐篷变成了一座破旧)
改良后的草裙舞泳装 (该模组添加了罗宾的舞蹈服装，这样她就可以)
莫拉莫拉的幼儿园 (该模组添加了一些床架纹理重制！它们每个都)
化肥制造机 (在皮埃尔的商店里，你可以找到一台非常特殊)
更真实的小马 - 马匹重绘 (这个模组旨在让马的形状和比例看起来更加真)
冒险时光毛绒玩具 (来自遥远国度的毛绒玩具。注意！！ 此mo)
战斗暂停 (在多人游戏中，当你打开菜单时，怪物将不会)
箱封隔器 (厌倦了总是制作果酱、酒和泡菜吗？本模组为)
惊喜盒 (一个神秘盒子，每天给你随机一件物品！甚至)
欧米伽药剂 (该模组添加几种不同类别的药剂，可以暂时提)
重新着色的农舍 (将农舍重新着色为凉爽的色调，以适应玩家相)
绿色铱 (这个mod使铱变成绿色.注意！！ 此mo)
淹没了洞穴 (添加一个新位置!这个地方有温室和地下室的)
聊天命令 (增加了在聊天框中使用SMAPI控制台命令)
史密斯自己 (允许您自己升级工具。你不需要在下雨天或克)
菠萝的帽子 (加上一个菠萝帽，看起来像一个菠萝!注意！)
水果帽子 (添加水果帽，看起来像水果!注意！！ 此m)
米色答录机 (这是电话答录机的复色版，为玩家带来新的视)
远程机器交互 (该模组允许手动装载和收集从任何机器在视野)
坚固的配偶房 (把配偶的房间换成坚固的房间。由于增加了一)
光束颜色变化 (你可以改变房子的梁、柱和其他部分的颜色。)
壁挂式货架 (该模组添加了功能性壁挂式货架，可展示2-)
捕鱼之海 (准备好进行无挫折的钓鱼吧!一个捕鱼海有你)
自定义温泉再生率 (这个模组允许你改变自定义农场洞穴地图中温)
特别订单 (这个mod增加了几个任务到特殊板。包括一)
发光的块状和节状 (这个mod在矿山中添加了原版矿物和宝石的)
自动拍摄 (该模组可以拍所有的农场动物和宠物，它也填)
符合圣经的仙女盒子 (该模组把你的仙女盒饰品变成符合圣经的样子)
悬崖边海滩农场 (一个有秘密海湾的悬崖边海滩农场。包括自定)
神奇的豆子 (一个非常神奇的豆子，可在皮埃尔那里购买，)
确认矿梯 (该模组在使用矿梯前要求确认。这不会影响矿)
基础动物替代品 (一个非常轻微的调整基础鸡和鸭，使他们更圆)
畜牧用豆制品 (这个mod是一个简单而小的畜牧业扩展，它)
牛肉松糕 (该模组改编自美剧《老友记》中的牛肉松糕，)
水族馆的砾石 (该模组添加了一些彩色水族箱砾石，灵感来自)
威利和巫师心脏事件 (该模组改变了船和女巫小屋的解锁任务，需要)
这一轮我请客 (这个mod改变了格斯在沙龙的对话，让你为)
南瓜毛绒玩具 (南瓜毛绒玩具模组添加了一个以南瓜为灵感的)
时髦的毛绒玩具 (这个mod增加了一个随机收集的毛绒玩具，)
专业的莫里斯 (该模组改变了莫里斯的肖像，以保持他的初始)
多种颜色地毯纹理 (想要定制尺寸或形状的地毯吗? 该模组为路)
实用口袋 (该模组增加了一个快速使用槽的食品项目(与)
把饲料送到农场 (该模组为游戏中通过觅食找到的物品添加作物)
修改的玛鲁 (该模组去除玛鲁在季节服装和医院制服中的弓)
吸血鬼服装艾略特 (艾略特忘了脱他的万圣节服装……哦，好吧，)
冒险时间齿轮 (该模组添加了一套服装，看起来像芬恩的装备)
跳跃蛋黄酱伴侣 (该模组添加了一个跳跃蛋黄酱伴侣，它会跟随)
小坏海滩农场 (一个农场，用来处理外面的坏海滩，马上把这)
选择锻造结界 (选择工具/战斗/天赋魔法，天赋魔法有多强)
可爱蝙蝠毛绒玩具 (该模组将大福坦熊的纹理替换为猫蝙蝠、鲶鱼)
剑-天照大神 (该模组将银河和无限剑替换为佐助剑，且注入)
剑-千鸟 (该模组用火影忍者的佐助剑取代银河和无限剑)
项目定位器 (一个利于玩家方便的mod，他能在玩家的屏)
三维玻璃方尖碑 (该模组添加了模块化可切换的3D圆柱形玻璃)
友好的雕像 (一个相当简单的mod:给鸡雕像家具一个发)
新的饰品装饰 (该模组为您所有的饰品同伴添加新的模型!注)
和平的猫 (保持最重要的生存平衡与和谐的猫。玩家可以)
舒适的粘液箱 (一个简单的mod，它用这个全绿的代替了黏)
定制服装性别 (这个mod允许玩家自定义从裁缝和沙漠节改)
季节性草莓松饼风格农舍信箱 (该模组下，用草莓松饼风格的元素取代了原版)
自定义配偶昵称和星光对话框 (该模组允许玩家自定义其配偶你的任何你喜欢)
浣熊垃圾熊 (该模组用来代替垃圾熊，让它们看起来更像一)
唱片点唱机纹理外观 (一个小内容包5个变种的黑胶唱片机，匹配原)
可买到的机器 (该模组使大多数可制造的机器可以通过可配置)
温迪的声音 (这个mod取代了一些音乐，环境声音和音效)
